,velikost,lokace
1401,2+kk,praha-horni-mecholupy-milanska
1404,4+1,zlin-zlin-javorova
1408,2+kk,pec-pod-snezkou-velka-upa-
1411,3+1,praha-prosek-lovosicka
1415,2+1,praha-kamyk-zarubova
1418,2+kk,praha-cholupice-kestranska
1422,2+kk,praha-chodov-klapalkova
1425,3+1,ostrava-poruba-jana-soupala
1429,1+1,vsetin-vsetin-stepanska
1432,3+kk,praha-zlicin-sazovicka
1436,4+kk,praha-nove-mesto-halkova
1439,4+1,praha-repy-vondrousova
1443,1+kk,praha-vysocany-cerpadlova
1446,3+kk,horomerice-horomerice-komenskeho
1450,3+1,horni-briza-horni-briza-druzstevni
1453,3+1,decin-decin-iv-podmokly-divisova
1457,3+kk,hradec-kralove-hradec-kralove-karla-hynka-machy
1460,2+kk,liberec-liberec--neclenene-mesto--svermova
1464,3+kk,liberec-liberec--neclenene-mesto--svermova
1467,1+kk,liberec-liberec--neclenene-mesto--svermova
1471,1+kk,praha-liben-konselska
1474,1+kk,praha-nove-mesto-nekazanka
1476,3+kk,praha-dejvice-studentska
1480,3+1,mlada-boleslav-mlada-boleslav-ii-tr--vaclava-klementa
1483,2+1,praha-veleslavin-marikova
1487,3+kk,praha-dejvice-patanka
1490,2+1,ostrava-vyskovice-stankova
1494,2+kk,praha-bohnice-zelenohorska
1497,4+1,ostrava-moravska-ostrava-a-privoz-nadrazni
1501,2+1,vsetin-vsetin-jiraskova
1504,3+kk,beroun-beroun-mesto-okruzni
1508,2+kk,praha-smichov-podbelohorska
1511,4+kk,praha-stodulky-melodicka
1515,3+1,praha-praha-4-druzstevni-ochoz
1518,2+kk,praha-zizkov-borivojova
1522,3+1,praha-stodulky-borovanskeho
1526,2+1,hradec-kralove-novy-hradec-kralove-trida-edvarda-benese
1529,3+1,nehvizdy-nehvizdy-gabcikova
1533,3+kk,praha-holesovice-v-haji
1536,2+kk,hradec-kralove-kukleny-
1540,2+1,praha-lhotka-miroticka
1543,2+1,most-most-julia-fucika
1547,3+kk,praha-smichov-
1550,2+kk,marianske-lazne-marianske-lazne-ruska
1554,4+1,praha-cakovice-danielova
1557,3+kk,praha-dablice-u-spoju
1561,4+kk,brno-zabrdovice-
1564,2+kk,brno-stary-liskovec-valasska
1568,2+1,praha-zizkov-kubelikova
1571,2+kk,brno-horni-herspice-sokolova
1575,atypicky,praha-stodulky-seydlerova
1578,2+kk,brno-zabrdovice-cejl
1582,3+kk,obristvi--a--polivky
1585,3+kk,praha-bohnice-vratislavska
1589,1+kk,liberec-liberec-vi-rochlice-dukelska
1592,5+1,ricany-ricany-jizerska
1596,3+1,praha-stodulky-kurzova
1599,1+1,praha-krc-hurbanova
1603,3+1,praha-prosek-vysocanska
1606,2+kk,brno-cerna-pole-drobneho
